artist,song,rank,streams,country,week
Travis Scott,SICKO MODE,9,19490524,global,2018-09-14--2018-09-21
Juice WRLD,Lucid Dreams,10,19291184,global,2018-09-14--2018-09-21
Kanye West,I Love It (& Lil Pump),1,28516766,global,2018-09-07--2018-09-14
Drake,In My Feelings,2,27863504,global,2018-09-07--2018-09-14
Eminem,Lucky You (feat. Joyner Lucas),3,26963023,global,2018-09-07--2018-09-14
benny blanco,Eastside (with Halsey & Khalid),4,24227312,global,2018-09-07--2018-09-14
Calvin Harris,Promises (with Sam Smith),5,23666223,global,2018-09-07--2018-09-14
Maroon 5,Girls Like You (feat. Cardi B),6,21481286,global,2018-09-07--2018-09-14
Dynoro,In My Mind,7,21439591,global,2018-09-07--2018-09-14
Marshmello,Happier,8,21422869,global,2018-09-07--2018-09-14
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),9,20365210,global,2018-09-07--2018-09-14
Travis Scott,SICKO MODE,10,20170718,global,2018-09-07--2018-09-14
Eminem,Lucky You (feat. Joyner Lucas),1,34874403,global,2018-08-31--2018-09-07
Drake,In My Feelings,2,31315010,global,2018-08-31--2018-09-07
Eminem,The Ringer,3,30918553,global,2018-08-31--2018-09-07
benny blanco,Eastside (with Halsey & Khalid),4,23720522,global,2018-08-31--2018-09-07
Maroon 5,Girls Like You (feat. Cardi B),5,22660264,global,2018-08-31--2018-09-07
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),6,22369274,global,2018-08-31--2018-09-07
Eminem,Greatest,7,21689170,global,2018-08-31--2018-09-07
Travis Scott,SICKO MODE,8,21243668,global,2018-08-31--2018-09-07
Dynoro,In My Mind,9,21100634,global,2018-08-31--2018-09-07
Calvin Harris,Promises (with Sam Smith),10,20475124,global,2018-08-31--2018-09-07
Drake,In My Feelings,1,35138164,global,2018-08-24--2018-08-31
Maroon 5,Girls Like You (feat. Cardi B),2,24425122,global,2018-08-24--2018-08-31
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),3,23484711,global,2018-08-24--2018-08-31
benny blanco,Eastside (with Halsey & Khalid),4,23028232,global,2018-08-24--2018-08-31
Travis Scott,SICKO MODE,5,22881136,global,2018-08-24--2018-08-31
Juice WRLD,Lucid Dreams,6,22470833,global,2018-08-24--2018-08-31
DJ Khaled,No Brainer,7,21883612,global,2018-08-24--2018-08-31
Ariana Grande,God is a woman,8,21848489,global,2018-08-24--2018-08-31
Dynoro,In My Mind,9,21258977,global,2018-08-24--2018-08-31
Ariana Grande,breathin,10,20258393,global,2018-08-24--2018-08-31
Drake,In My Feelings,1,39419339,global,2018-08-17--2018-08-24
Ariana Grande,breathin,2,25997814,global,2018-08-17--2018-08-24
Ariana Grande,God is a woman,3,25887832,global,2018-08-17--2018-08-24
Maroon 5,Girls Like You (feat. Cardi B),4,24377889,global,2018-08-17--2018-08-24
DJ Khaled,No Brainer,5,23916118,global,2018-08-17--2018-08-24
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),6,23687839,global,2018-08-17--2018-08-24
Juice WRLD,Lucid Dreams,7,22801625,global,2018-08-17--2018-08-24
Travis Scott,SICKO MODE,8,22533467,global,2018-08-17--2018-08-24
benny blanco,Eastside (with Halsey & Khalid),9,21850086,global,2018-08-17--2018-08-24
Dynoro,In My Mind,10,20789314,global,2018-08-17--2018-08-24
Drake,In My Feelings,1,45745903,global,2018-08-10--2018-08-17
DJ Khaled,No Brainer,2,25932843,global,2018-08-10--2018-08-17
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),3,25537529,global,2018-08-10--2018-08-17
Maroon 5,Girls Like You (feat. Cardi B),4,24790259,global,2018-08-10--2018-08-17
Travis Scott,SICKO MODE,5,24375908,global,2018-08-10--2018-08-17
Juice WRLD,Lucid Dreams,6,22462322,global,2018-08-10--2018-08-17
benny blanco,Eastside (with Halsey & Khalid),7,22369433,global,2018-08-10--2018-08-17
Cardi B,I Like It,8,21610874,global,2018-08-10--2018-08-17
Dynoro,In My Mind,9,19784225,global,2018-08-10--2018-08-17
Tyga,Taste (feat. Offset),10,19705660,global,2018-08-10--2018-08-17
Drake,In My Feelings,1,53952698,global,2018-08-03--2018-08-10
Travis Scott,SICKO MODE,2,33399542,global,2018-08-03--2018-08-10
Travis Scott,STARGAZING,3,30434014,global,2018-08-03--2018-08-10
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),4,28894700,global,2018-08-03--2018-08-10
DJ Khaled,No Brainer,5,27708887,global,2018-08-03--2018-08-10
Maroon 5,Girls Like You (feat. Cardi B),6,25992621,global,2018-08-03--2018-08-10
Cardi B,I Like It,7,23194455,global,2018-08-03--2018-08-10
Juice WRLD,Lucid Dreams,8,22227380,global,2018-08-03--2018-08-10
benny blanco,Eastside (with Halsey & Khalid),9,21861142,global,2018-08-03--2018-08-10
Clean Bandit,Solo (feat. Demi Lovato),10,20913401,global,2018-08-03--2018-08-10
Drake,In My Feelings,1,60285459,global,2018-07-27--2018-08-03
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),2,31741382,global,2018-07-27--2018-08-03
Maroon 5,Girls Like You (feat. Cardi B),3,26591666,global,2018-07-27--2018-08-03
DJ Khaled,No Brainer,4,26590758,global,2018-07-27--2018-08-03
Cardi B,I Like It,5,25917300,global,2018-07-27--2018-08-03
Juice WRLD,Lucid Dreams,6,23901321,global,2018-07-27--2018-08-03
Tyga,Taste (feat. Offset),7,23210518,global,2018-07-27--2018-08-03
Clean Bandit,Solo (feat. Demi Lovato),8,22465052,global,2018-07-27--2018-08-03
Ariana Grande,God is a woman,9,22382886,global,2018-07-27--2018-08-03
XXXTENTACION,SAD!,10,22217230,global,2018-07-27--2018-08-03
Drake,In My Feelings,1,65825491,global,2018-07-20--2018-07-27
Cardi B,I Like It,2,27078418,global,2018-07-20--2018-07-27
Maroon 5,Girls Like You (feat. Cardi B),3,26784966,global,2018-07-20--2018-07-27
Ariana Grande,God is a woman,4,25368396,global,2018-07-20--2018-07-27
Juice WRLD,Lucid Dreams,5,24992827,global,2018-07-20--2018-07-27
Tyga,Taste (feat. Offset),6,24364886,global,2018-07-20--2018-07-27
XXXTENTACION,SAD!,7,24270898,global,2018-07-20--2018-07-27
Clean Bandit,Solo (feat. Demi Lovato),8,23808036,global,2018-07-20--2018-07-27
Calvin Harris,One Kiss (with Dua Lipa),9,22895006,global,2018-07-20--2018-07-27
Post Malone,Better Now,10,22134955,global,2018-07-20--2018-07-27
Drake,In My Feelings,1,67499798,global,2018-07-13--2018-07-20
Ariana Grande,God is a woman,2,29847494,global,2018-07-13--2018-07-20
Maroon 5,Girls Like You (feat. Cardi B),3,29296811,global,2018-07-13--2018-07-20
Drake,Don’t Matter To Me,4,28813636,global,2018-07-13--2018-07-20
Cardi B,I Like It,5,27369377,global,2018-07-13--2018-07-20
Juice WRLD,Lucid Dreams,6,26990092,global,2018-07-13--2018-07-20
XXXTENTACION,SAD!,7,26233409,global,2018-07-13--2018-07-20
Tyga,Taste (feat. Offset),8,24591233,global,2018-07-13--2018-07-20
Calvin Harris,One Kiss (with Dua Lipa),9,24377017,global,2018-07-13--2018-07-20
Clean Bandit,Solo (feat. Demi Lovato),10,24095921,global,2018-07-13--2018-07-20
Drake,In My Feelings,1,43950715,global,2018-07-06--2018-07-13
Drake,Don’t Matter To Me,2,33681056,global,2018-07-06--2018-07-13
XXXTENTACION,SAD!,3,28909080,global,2018-07-06--2018-07-13
Maroon 5,Girls Like You (feat. Cardi B),4,27241596,global,2018-07-06--2018-07-13
Drake,Nonstop,5,26916394,global,2018-07-06--2018-07-13
Juice WRLD,Lucid Dreams,6,26176772,global,2018-07-06--2018-07-13
